,HeLa
ATG3,0.388246846784442
ATG4A,-0.564550986860517
ATG4B,0.387478192922409
ATG4C,-0.171396587153472
ATG4D,-1.51948434340514
ATG5,-0.116588927463511
ATG7,0.0553161830626744
ATG9A,-0.344888076171794
ATIC,1.31489373157982
ATL2,0.15989573233723
ATL3,0.72214704537053
ATM,-1.8155896473876
ATMIN,-2.68341676310764
ATN1,-0.611374181710435
ATOH8,-0.286094246916979
ATOX1,1.99366345724767
ATP10D,-2.0850990193943
ATP11A,-1.17474590934026
ATP11B,-1.50132269226644
ATP11C,-0.669062503445306
ATP13A1,-0.348182410327355
ATP13A2,-1.17212245658501
ATP13A3,-0.686664936766827
ATP1A1,0.726949875459557
ATP1B1,1.18009597053618
ATP1B3,1.54202115452661
ATP23,-0.303037806196167
ATP2A2,0.651445609019427
ATP2A3,-0.989321812754751
ATP2B1,-0.187913986427546
ATP2B4,-0.223755878291468
ATP2C1,-0.127497843508679
ATP5F1A,1.10919947297081
ATP5F1B,1.34639194538934
ATP5F1C,1.30684133197402
ATP5F1D,1.77134466650611
ATP5F1E,2.4841138590548
ATP5IF1,2.14519927674217
ATP5MC1,1.12334641135873
ATP5MC2,1.7943909820472
ATP5MC3,1.67919400426422
ATP5MD,1.33240448371229
ATP5ME,1.23131356686301
ATP5MF,1.4829701915878
ATP5MG,1.51869976451767
ATP5MPL,2.11883480609173
ATP5PB,1.32016084507831
ATP5PD,1.466506863229
ATP5PF,1.93502928622856
ATP5PO,1.29952597675078
ATP6AP1,1.25560720886937
ATP6AP2,1.27006475763653
ATP6V0A1,0.421178508850566
ATP6V0A2,-0.375138631600253
ATP6V0B,1.05177414171769
ATP6V0C,2.08652657420786
ATP6V0D1,1.03265277911542
ATP6V0E1,1.53547527823342
ATP6V0E2,0.774806034894427
ATP6V1A,0.838363745402659
ATP6V1B2,0.613146863879327
ATP6V1C1,0.607924810933129
ATP6V1D,0.697533640920313
ATP6V1E1,1.05001278874712
ATP6V1F,1.48450832449091
ATP6V1G1,1.36822669814074
ATP6V1H,0.639135374069868
ATP7A,-0.754012324453981
ATP8B1,-1.81278803772096
ATP8B2,-2.50924075902228
ATP8B3,-1.02245755614584
ATP9A,-0.533530686990595
ATP9B,-1.78010551063977
ATPAF1,0.487530470680202
ATPAF2,-0.0247833800287367
ATPSCKMT,0.426251075541394
ATR,-0.669365545951885
ATRAID,0.587520408536875
ATRIP,-0.183881664767435
ATRN,-0.277653003831291
ATRX,-0.762210243721997
ATXN1,-2.06262040318028
ATXN10,1.02822199669575
ATXN1L,-1.84655602892336
ATXN2,0.0081009508416428
ATXN2L,0.714681411959093
ATXN3,0.161199141757055
ATXN7,-1.50670867210058
ATXN7L1,-0.575249672004491
ATXN7L2,-1.41643781428232
ATXN7L3,-2.06591924741742
ATXN7L3B,0.776784394119049
AUH,0.183155635288766
AUNIP,0.126697085408215
AUP1,-0.0472635443804189
AURKA,0.666084880726826
AURKAIP1,0.938823516670805
AURKB,0.662811843862414
AUTS2,-1.17285187556996
AVEN,-0.37731558807975
AVL9,-0.233278318279324
AVPI1,0.505189547881633
AXIN1,-1.7059328366056
AXL,-0.0087476039300409
AZI2,-0.719557547236412
AZIN1,-0.493583164616471
B2M,2.76047043691389
B3GALNT1,-0.169061988091665
B3GALNT2,-0.737651705825686
B3GALT6,0.0462482206887358
B3GAT3,0.0152998644721272
B3GLCT,-0.172899463456846
B3GNT10,-1.16048487538203
B3GNT2,-0.181767776501128
B3GNT5,-1.16189447634009
B3GNT9,-0.840212981017647
B3GNTL1,-0.382852833740058
B4GALNT1,-0.356267239179735
B4GALNT4,-2.78902069451853
B4GALT1,1.3028023512498
B4GALT2,-2.74057559276805
B4GALT3,-0.988306014257133
B4GALT4,-0.274404408862899
B4GALT5,0.161255535249492
B4GALT7,-0.582409908022976
B4GAT1,-0.0087842469102407
B9D1,0.592412127633624
B9D2,-0.10256946798611
BABAM1,-0.663105065461544
BABAM2,0.718510316952995
BACE1,-0.950594158617823
BACE2,0.195223178746426
BACH1,-1.12491920826146
BAD,0.16727763889457
BAG1,-0.136467822359795
BAG2,1.14029972268478
BAG3,0.685237602171835
BAG4,0.22230309484052
BAG5,0.134820081612232
BAG6,0.398137058356176
BAHD1,-0.0840706942741054
BAIAP2,0.257786680133848
BAIAP2L1,0.419731642776732
BAK1,-0.190719408367327
BAMBI,0.0230208362641795
BANF1,2.48483339299944
BANP,-0.533497177438321
BAP1,-1.01917303373959
BARD1,-0.745887486356644
BASP1,1.47221007482889
BATF3,-0.617662537805471
BAX,0.813146077198227
BAZ1A,-0.391418187917094
BAZ1B,-0.0088836041008415
BAZ2A,-0.264196945565188
BAZ2B,-2.11010652551034
BBC3,0.213284927167477
BBIP1,0.254844016222693
BBS10,-0.496808547053975
BBS12,-1.21743282366943
BBS2,0.0547963510896502
BBS4,0.109500655625646
BBS7,0.0162382432130674
BBS9,-1.26099117114547
BBX,-0.137102856092354
BCAM,-0.120733033676721
BCAN,-0.587112659126659
BCAP29,-0.251017305343591
BCAP31,1.10390601195146
BCAR1,-0.0853658153443311
BCAR3,-0.385652359884971
BCAS2,1.20011808688526
BCAS3,-0.740764174297655
BCAS4,0.211621256012971
BCAT1,0.789951420001664
BCAT2,0.466363360988547
BCCIP,0.730609404976945
BCDIN3D,-0.130069664774733
BCKDHA,-0.56246756098236
BCKDHB,0.612975368678018
BCKDK,0.21757042647625
BCL10,0.971977417390609
BCL2,-0.610572025396217
BCL2L1,-0.422988787046061
BCL2L11,-0.201977241117196
BCL2L12,0.428150535143247
BCL2L13,-0.0034551851206736
BCL3,0.0857964460413437
BCL6,-0.217230349020333
BCL7A,0.391781006905912
